iter	Accuracy	MultiClass
190	0.9180405087	0.2671795315
191	0.9185115403	0.2666243747
192	0.9185115403	0.2664720609
193	0.9185115403	0.2659309533
194	0.9185115403	0.2651224355
195	0.9185115403	0.2646642386
196	0.9189825718	0.2640246902
197	0.9189825718	0.2633508855
198	0.9189825718	0.2627849167
199	0.9194536034	0.2622522774
200	0.919924635	0.2614044168
201	0.919924635	0.2605236814
202	0.919924635	0.2601884914
203	0.9194536034	0.2598238676
204	0.919924635	0.259509947
205	0.919924635	0.2592940483
206	0.919924635	0.2589089887
207	0.919924635	0.2583807407
208	0.919924635	0.2578935496
209	0.919924635	0.2575104338
210	0.9203956665	0.2570158223
211	0.9194536034	0.2562094202
212	0.9203956665	0.2556703741
213	0.9213377296	0.2549688612
214	0.9208666981	0.2543588667
215	0.9208666981	0.2539318627
216	0.9218087612	0.2533654845
217	0.9213377296	0.252864416
218	0.9222797927	0.2523253063
219	0.9222797927	0.2518870829
220	0.9222797927	0.2514519535
221	0.9227508243	0.2510821961
222	0.9227508243	0.2503341496
223	0.9222797927	0.2500323459
224	0.9227508243	0.2496064573
225	0.9222797927	0.2491278212
226	0.9227508243	0.2486070886
227	0.9236928874	0.2477765446
228	0.9236928874	0.2473720182
229	0.9236928874	0.2468252625
230	0.924163919	0.2464933914
231	0.924163919	0.2460866485
232	0.9246349505	0.2457332433
233	0.9251059821	0.2454149076
234	0.9255770137	0.2450008789
235	0.9255770137	0.2442278278
236	0.9255770137	0.2434634304
237	0.9260480452	0.2428468874
238	0.9265190768	0.2425692374
239	0.9274611399	0.2420293891
240	0.9279321715	0.2417391599
241	0.9274611399	0.2410764236
242	0.9279321715	0.2401178092
243	0.9279321715	0.2394780902
244	0.9279321715	0.2385727828
245	0.9274611399	0.23827214
246	0.9279321715	0.2373104826
247	0.928403203	0.2361712203
248	0.928403203	0.2358727126
249	0.9288742346	0.2354144372
250	0.928403203	0.2347285191
251	0.9293452661	0.2340915955
252	0.9293452661	0.2331740508
253	0.9293452661	0.2326863011
254	0.9293452661	0.2323942996
255	0.9293452661	0.2321852857
256	0.9293452661	0.2318288639
257	0.9293452661	0.2313819804
258	0.9293452661	0.2309151399
259	0.9293452661	0.2305767853
260	0.9293452661	0.2302788654
261	0.9293452661	0.2299759651
262	0.9293452661	0.2296741214
263	0.9293452661	0.2290252445
264	0.9293452661	0.2287339339
265	0.9293452661	0.2279692432
266	0.9298162977	0.2274430336
267	0.9298162977	0.2267247219
268	0.9298162977	0.2260954346
269	0.9302873293	0.2256935917
270	0.9302873293	0.225340763
271	0.9302873293	0.2249615457
272	0.9302873293	0.2247745481
273	0.9302873293	0.2243922275
274	0.9302873293	0.2237069533
275	0.9302873293	0.223114953
276	0.9302873293	0.2229487547
277	0.9302873293	0.222713963
278	0.9302873293	0.2225347512
279	0.9312293924	0.2222470273
280	0.9307583608	0.2220294381
281	0.9312293924	0.2215787388
282	0.9312293924	0.2213185278
283	0.9312293924	0.2210988075
284	0.9312293924	0.2203270755
285	0.9321714555	0.2192027138
286	0.932642487	0.2185160127
287	0.9321714555	0.2180229003
288	0.9335845502	0.2177595107
289	0.9331135186	0.2173642686
290	0.9335845502	0.2168475633
291	0.9345266133	0.21634236
292	0.9354686764	0.215933686
293	0.9354686764	0.2154034132
294	0.9354686764	0.2148375969
295	0.9354686764	0.2147026206
296	0.9354686764	0.2141262334
297	0.9354686764	0.2137502982
298	0.9354686764	0.2135871842
299	0.935939708	0.2132581542
300	0.935939708	0.2124966485
301	0.935939708	0.2119929505
302	0.935939708	0.211450938
303	0.9354686764	0.2109715933
304	0.935939708	0.2106876488
305	0.9354686764	0.2103917374
306	0.9354686764	0.2098589179
307	0.9354686764	0.2095099082
308	0.9354686764	0.2091926331
309	0.9354686764	0.2090591912
310	0.935939708	0.2086411621
311	0.935939708	0.2083753642
312	0.9364107395	0.2077868035
313	0.9364107395	0.2072714954
314	0.9373528026	0.2068251426
315	0.9368817711	0.2064628464
316	0.9373528026	0.2060958261
317	0.9373528026	0.2055070057
318	0.9378238342	0.2048963359
319	0.9378238342	0.20458204
320	0.9378238342	0.2039550882
321	0.9373528026	0.2033886655
322	0.9378238342	0.2029334983
323	0.9382948658	0.2024299958
324	0.9387658973	0.2020859795
325	0.9387658973	0.2017947795
326	0.9387658973	0.2013201224
327	0.9392369289	0.2004737618
328	0.9397079604	0.1999850727
329	0.9392369289	0.1992863026
330	0.9397079604	0.1987720042
331	0.9392369289	0.1984925708
332	0.9392369289	0.1979425916
333	0.9392369289	0.1976665555
334	0.9392369289	0.1973628733
335	0.9397079604	0.1968785528
336	0.940178992	0.1966112986
337	0.940178992	0.1957863704
338	0.940178992	0.1954945766
339	0.940178992	0.1950122675
340	0.940178992	0.1945837925
341	0.9406500236	0.1940462529
342	0.9411210551	0.1937808979
343	0.9411210551	0.1933095978
344	0.9411210551	0.1930846174
345	0.9411210551	0.192823676
346	0.9415920867	0.1925562399
347	0.9415920867	0.1920400904
348	0.9425341498	0.1916686928
349	0.9425341498	0.1910818758
350	0.9425341498	0.1908503094
351	0.9425341498	0.1904545136
352	0.9430051813	0.1902101125
353	0.9434762129	0.1897718631
354	0.9439472445	0.1893144985
355	0.9439472445	0.1889215921
356	0.9439472445	0.1886433777
357	0.9439472445	0.1884223748
358	0.9434762129	0.1881663057
359	0.944418276	0.1878182278
360	0.944418276	0.1874805684
361	0.944418276	0.1869659451
362	0.944418276	0.1865697857
363	0.944418276	0.1862196605
364	0.944418276	0.185868928
365	0.9448893076	0.1853740461
366	0.9448893076	0.18524339
367	0.9448893076	0.1847769857
368	0.9448893076	0.1847050288
369	0.9448893076	0.1845703088
370	0.9448893076	0.1844811451
371	0.9448893076	0.1840455828
372	0.9448893076	0.1837678804
373	0.9448893076	0.1833404917
374	0.9448893076	0.183059917
375	0.9448893076	0.1827937251
376	0.9448893076	0.1824463634
377	0.9448893076	0.1821342363
378	0.9448893076	0.1818444533
379	0.9448893076	0.1815904399
380	0.9453603391	0.1813000248
381	0.9448893076	0.1810104693
382	0.9453603391	0.1805815844
383	0.9458313707	0.1803652091
384	0.9458313707	0.1801437373
385	0.9458313707	0.1798124654
386	0.9458313707	0.1796770234
387	0.9458313707	0.1793869224
388	0.9463024023	0.1788701212
389	0.9463024023	0.1786270083
390	0.9463024023	0.178274743
391	0.9463024023	0.177774608
392	0.9467734338	0.1772689263
393	0.9467734338	0.1770795588
394	0.9467734338	0.1766956096
395	0.9467734338	0.17609277
396	0.9463024023	0.175677345
397	0.9467734338	0.1752258417
398	0.9472444654	0.1747755088
399	0.9472444654	0.1745790415
400	0.9472444654	0.174295796
401	0.9472444654	0.1740748433
402	0.9472444654	0.1737163801
403	0.9472444654	0.1731510331
404	0.9472444654	0.1729278859
405	0.9472444654	0.1727211516
406	0.9477154969	0.1723436157
407	0.9477154969	0.1721934562
408	0.9477154969	0.1719071995
409	0.9472444654	0.1715914061
410	0.9477154969	0.1712240624
411	0.9477154969	0.1709637342
412	0.9477154969	0.1707561063
413	0.9481865285	0.1703234652
414	0.9481865285	0.170062137
415	0.9486575601	0.1696548779
416	0.9486575601	0.1693152565
417	0.9486575601	0.169059145
418	0.9491285916	0.1684363221
419	0.9491285916	0.1680175012
420	0.9500706547	0.1677017343
421	0.9495996232	0.1673705951
422	0.9495996232	0.166994153
423	0.9495996232	0.1666705745
424	0.9500706547	0.166304547
425	0.9505416863	0.1661070573
426	0.9510127179	0.1658089534
427	0.9510127179	0.1654423246
428	0.9510127179	0.1652890752
429	0.9510127179	0.1650329692
430	0.9510127179	0.1648565689
431	0.9514837494	0.1646225574
432	0.9514837494	0.1644784483
433	0.9510127179	0.1643030029
434	0.9510127179	0.164061224
435	0.9514837494	0.1638854281
436	0.951954781	0.1634953849
437	0.951954781	0.1630793364
438	0.9514837494	0.162743751
439	0.951954781	0.1624676723
440	0.951954781	0.1619742834
441	0.9524258125	0.1617743206
442	0.9524258125	0.1614791633
443	0.9528968441	0.1611304322
444	0.9528968441	0.1606498961
445	0.9533678756	0.160310786
446	0.9528968441	0.1598055417
447	0.9528968441	0.1595481305
448	0.9538389072	0.1592956421
449	0.9538389072	0.1591225765
450	0.9538389072	0.158858794
451	0.9533678756	0.15863005
452	0.9538389072	0.158476995
453	0.9538389072	0.1582476694
454	0.9538389072	0.158006746
455	0.9538389072	0.1575654265
456	0.9538389072	0.1573486024
457	0.9538389072	0.1570130022
458	0.9538389072	0.1568443165
459	0.9538389072	0.1563657805
460	0.9543099388	0.1560467076
461	0.9543099388	0.1557050601
462	0.9543099388	0.1554768121
463	0.9543099388	0.1552114006
464	0.9543099388	0.1548531355
465	0.9543099388	0.1545630004
466	0.9547809703	0.1543433703
467	0.9543099388	0.1541985762
468	0.9552520019	0.1537388136
469	0.9547809703	0.1534127388
470	0.9547809703	0.1531240043
471	0.9552520019	0.1527144297
472	0.9566650966	0.152481259
473	0.9571361281	0.1522194436
474	0.9571361281	0.152013682
475	0.9566650966	0.1518002544
476	0.956194065	0.1514604692
477	0.956194065	0.1512663987
478	0.9576071597	0.1509998434
479	0.9576071597	0.1506797236
480	0.9580781912	0.1502552548
481	0.9580781912	0.1501498041
482	0.9580781912	0.1498433919
483	0.9580781912	0.1494563377
484	0.9580781912	0.1489569693
485	0.9580781912	0.1487578097
486	0.9580781912	0.1486127633
487	0.9590202544	0.1482774512
488	0.9590202544	0.1480708146
489	0.9590202544	0.1478963552
490	0.9594912859	0.1476335115
491	0.9594912859	0.1473981271
492	0.9599623175	0.1471912774
493	0.9594912859	0.1470252283
494	0.9594912859	0.1467959499
495	0.9594912859	0.1462924189
496	0.9594912859	0.1460431979
497	0.9594912859	0.1456526354
498	0.960433349	0.1453822069
499	0.9599623175	0.1451930128
